V1;X11.24;X211ds20;Acetobacterales;Acidiferrobacterales;Acidimicrobiales;Acidobacteriales;Actinomarinales;Actinomycetales;Aeromonadales;Alteromonadales;Ambiguous_taxa;Ardenticatenales;Armatimonadales;Azospirillales;BD72BR169;Babeliales;Bacillales;Bacteroidales;Bacteroidetes.VC2.1.Bac22;Bdellovibrionales;Beggiatoales;Betaproteobacteriales;Bifidobacteriales;C0119;CCD24;CCM11a;Caedibacterales;Caldilineales;Candidatus.Adlerbacteria;Candidatus.Kaiserbacteria;Cardiobacteriales;Catenulisporales;Caulobacterales;Cellvibrionales;Chitinophagales;Chlamydiales;Chloroflexales;Chloroflexi.bacterium.JEA33;Chloroplast;Chthoniobacterales;Clostridiales;Coriobacteriales;Corynebacteriales;Coxiellales;Cyanobacteria.Melainabacteria.group.bacterium.S15B.MN24.CBMW_12;Cytophagales;Dadabacteriales;Deferribacterales;Deinococcales;Desulfarculales;Desulfobacterales;Desulfovibrionales;Desulfuromonadales;Diplorickettsiales;Dongiales;EC3;Elev.16S.976;Elsterales;Enterobacteriales;Entotheonellales;Erysipelotrichales;F9P41300.M23;Fibrobacterales;Fimbriimonadales;Flavobacteriales;Frankiales;Fusobacteriales;Ga0077536;Gaiellales;Gammaproteobacteria.Incertae.Sedis;Gemmatales;Gemmatimonadales;Haloplasmatales;Halothiobacillales;Holophagales;Holosporales;IMCC26256;Ignavibacteriales;Isosphaerales;JG36.TzT.191;KI89A.clade;Kallotenuales;Kineosporiales;Kryptoniales;Ktedonobacterales;Lactobacillales;Latescibacterales;Legionellales;Leptospirales;Limnochordales;Lineage.IV;Longimicrobiales;MBA03;MBNT15;MVP.88;Methylacidiphilales;Methylococcales;Micavibrionales;Micrococcales;Micromonosporales;Micropepsales;Microtrichales;Myxococcales;NB1.j;Nitrosococcales;Nitrospirales;OPB41;OPB56;Oceanospirillales;Oligoflexales;Opitutales;PB19;PLTA13;Paracaedibacterales;Parvibaculales;Pasteurellales;PeM15;Pedosphaerales;Phycisphaerales;Pirellulales;Piscirickettsiales;Planctomycetales;Propionibacteriales;Pseudomonadales;Pseudonocardiales;Puniceispirillales;Pyrinomonadales;R7C24;RCP2.54;Reyranellales;Rhizobiales;Rhodobacterales;Rhodospirillales;Rhodothermales;Rickettsiales;Rokubacteriales;Rubrobacterales;S085;SAR202.clade;SAR324.clade.Marine.group.B.;SBR1031;SJA.15;SJA.28;SM1A07;Saccharimonadales;Salinisphaerales;Selenomonadales;Solibacterales;Solirubrobacterales;Sphingobacteriales;Sphingomonadales;Steroidobacterales;Streptomycetales;Streptosporangiales;Subgroup.12;Subgroup.2;Subgroup.7;Syntrophobacterales;TX1A.33;Tepidisphaerales;Thermoanaerobacterales;Thermoanaerobaculales;Thermomicrobiales;Tistrellales;Verrucomicrobiales;Vibrionales;Xanthomonadales;bacterium.LWH54;metagenome;planctomycete.A.2;uncultured;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Actinomycetales.bacterium;uncultured.Anaerolineales.bacterium;uncultured.Antarctic.bacterium.LB3.13;uncultured.Armatimonadetes.bacterium;uncultured.Bellilinea.sp.;uncultured.Caldilineae.bacterium;uncultured.Catenuloplanes.sp.;uncultured.Chloroflexi.bacterium;uncultured.Clostridium.sp.;uncultured.Dehalococcoidia.bacterium;uncultured.Dehalogenimonas.sp.;uncultured.Elusimicrobia.bacterium;uncultured.Gemmatimonadales.bacterium;uncultured.Gemmatimonadetes.bacterium;uncultured.Halanaerobiaceae.bacterium;uncultured.Holophaga.sp.;uncultured.Micromonospora.sp.;uncultured.Nocardioidaceae.bacterium;uncultured.Planctomycetaceae.bacterium;uncultured.Planctomycetales.bacterium;uncultured.Streptomyces.sp.;uncultured.Termite.group.1.bacterium;uncultured.Truepera.sp.;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.bacterium..0319.7F19;uncultured.bacterium..0425.2M17;uncultured.bacterium.17F9;uncultured.bacterium.246;uncultured.cyanobacterium;uncultured.microorganism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC338-193_S338_L001;4;11;0;6;0;16;64;0;0;0;82;279;0;0;300;0;2;738;110;0;202;0;9202;0;0;14;0;0;0;0;0;0;0;1015;141;32;6;137;0;0;12;224;0;224;0;0;401;0;0;0;50;69;15;290;0;138;0;0;14;0;19;0;0;114;37;1656;110;0;0;620;78;0;455;0;0;0;0;73;0;0;0;5;0;4;0;0;0;0;0;8;0;0;12;0;5;0;0;0;24;732;161;48;122;547;4;0;129;0;19;23;121;0;0;43;3;0;0;3;353;44;0;0;0;306;596;46;0;0;0;0;74;2702;33;991;0;0;0;7;32;0;0;0;0;0;0;14;11;0;158;234;136;1481;162;232;37;0;14;141;0;0;0;0;28;0;32;0;0;324;0;61;0;19;11;0;0;0;0;4;5;0;0;0;0;4;0;0;0;7;0;0;0;0;0;16;0;0;0;11;0;97;0;0;0;0;0;0;0;0;6
BactV5V7-BC355-226_S355_L001;14;27;0;0;7;0;189;2;0;0;0;548;0;4;152;0;8;1438;0;0;109;0;7436;0;2;60;0;0;0;0;0;0;0;403;9;317;20;198;0;0;9;107;0;304;0;0;599;0;0;3;141;0;0;62;0;145;0;0;23;0;65;0;0;23;51;553;158;0;0;1405;94;0;1067;0;0;0;0;196;0;0;0;18;0;0;0;4;0;0;0;0;0;0;21;0;31;0;0;0;3;997;175;32;314;387;17;0;375;0;40;0;93;0;0;129;6;0;0;0;791;38;0;0;0;515;810;57;0;23;7;40;140;2386;13;71;0;0;0;31;28;0;8;0;0;0;0;16;18;0;384;498;127;1787;297;216;31;0;19;140;0;0;0;0;64;3;79;0;0;216;0;58;0;138;0;0;0;0;0;0;10;0;0;8;0;0;0;0;0;30;0;0;0;0;0;0;2;0;0;45;0;214;0;0;0;0;0;0;0;0;9
BactV5V7-BC337-192_S337_L001;9;25;0;2;0;0;128;0;0;0;53;129;0;0;341;0;0;419;262;0;278;0;9183;0;3;28;0;5;0;0;0;0;0;1174;141;664;31;129;0;0;18;385;0;132;0;0;617;0;0;0;106;43;54;592;0;207;0;0;0;0;16;0;0;298;73;1122;79;0;0;467;136;0;719;0;0;2;2;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;23;2;0;0;5;699;61;99;149;749;11;0;152;0;36;0;85;0;0;55;15;0;0;0;569;58;0;0;0;250;931;12;0;0;0;0;53;1878;8;413;0;2;0;0;3;0;5;0;0;0;0;140;0;11;212;154;194;1468;247;177;61;0;17;110;0;0;0;0;0;0;0;0;0;479;0;28;0;13;7;0;0;0;13;0;7;0;0;0;0;0;0;0;0;13;0;0;8;0;0;0;0;2;0;8;0;108;0;0;0;0;0;0;0;0;4
BactV5V7-BC19-44_S19_L001;0;0;0;4;0;0;2;0;0;0;266;0;0;0;9;0;27;2226;0;0;329;0;9693;0;6;0;0;0;0;0;0;0;14;99;9;3553;10;0;0;0;0;116;0;113;0;0;32;0;0;0;0;0;0;67;91;49;0;0;0;87;0;0;0;0;0;1039;0;0;0;32;81;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;10;0;0;0;0;0;0;0;0;0;0;58;92;0;0;9;0;0;0;0;0;0;139;0;0;0;10;0;0;0;2;0;0;0;0;243;1803;169;0;0;0;0;3;944;10;15;0;453;0;0;0;0;0;0;0;0;0;0;0;0;6;17;12;198;8;5723;23;0;6;0;0;0;0;0;7;0;0;0;0;7;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
BactV5V7-BC68-199_S68_L001;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;249;6;0;18;0;4483;0;0;0;0;0;0;0;0;0;0;83;300;114;4;0;0;0;0;5;0;23;0;0;506;0;0;0;0;0;0;0;10;0;0;0;0;6;0;0;0;10;0;5304;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;21;0;0;0;0;0;0;0;0;5;21;0;0;0;0;0;0;0;0;0;0;0;0;25;15560;33;0;0;0;0;0;58;0;10;0;624;0;0;0;0;0;0;0;0;0;25;0;0;0;0;3;0;21;502;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC56-178_S56_L001;0;10;0;4;0;26;76;0;0;0;4;435;3;0;144;0;0;1293;67;0;264;0;3582;0;0;10;0;0;0;0;0;0;0;322;33;420;16;68;0;141;0;718;0;414;0;0;214;0;0;0;45;17;12;178;2;93;0;4;9;18;28;0;0;11;6;419;152;0;0;1583;220;0;363;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;5;0;0;0;0;1132;99;15;229;266;0;0;134;0;15;5;51;0;0;81;0;0;0;0;152;0;2;0;0;725;7918;89;0;0;0;0;44;1936;7;94;0;317;0;0;7;0;5;0;0;0;0;81;32;21;99;718;55;521;183;1011;21;0;22;43;0;0;0;0;34;0;30;0;0;247;0;0;0;34;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;16;0;0;0;0;41;0;100;0;0;0;0;0;0;0;0;0
BactV5V7-BC340-204_S340_L001;13;8;0;6;0;4;89;0;0;0;215;42;0;0;655;0;0;381;330;0;174;0;10086;0;2;14;0;0;0;0;0;0;0;1082;220;533;6;96;0;0;5;783;0;119;0;0;517;0;0;0;40;126;93;843;5;246;0;0;0;0;0;0;0;203;46;1498;49;0;0;316;113;0;346;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;532;73;93;51;745;3;0;110;4;27;0;91;0;0;35;9;0;0;0;298;12;2;0;0;228;525;23;0;0;9;0;57;2026;53;1236;0;6;0;6;0;0;0;0;0;0;0;116;16;0;88;168;220;1142;129;137;43;0;9;74;0;0;0;5;15;0;0;0;0;306;0;34;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0
BactV5V7-BC67-198_S67_L001;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;856;0;0;13;0;6299;0;0;0;0;3;0;0;0;0;0;28;0;183;22;0;0;0;0;6858;0;1104;5;0;9;0;0;0;0;0;0;104;2;86;0;0;0;10177;0;0;0;0;0;251;0;0;0;0;51;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;226;0;0;0;0;0;0;14;0;0;0;27;0;0;0;0;0;0;0;0;23;82;33;0;0;0;0;0;382;5;19;0;78;0;0;0;0;0;0;0;0;0;3;0;264;0;0;0;0;32;1009;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC62-184_S62_L001;0;0;0;17;0;0;0;0;0;0;2180;0;0;0;162;0;11;440;0;0;68;0;2918;0;0;0;0;0;0;0;0;0;0;120;33;91;25;0;0;0;0;173;0;26;0;0;779;0;0;0;0;0;0;5;0;39;0;0;0;0;0;0;0;0;0;1839;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;11;74;0;0;0;26;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;17768;0;0;0;0;0;0;700;0;9;0;671;0;0;0;0;0;0;0;0;0;68;0;0;0;0;43;0;13;100;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC2-7_S2_L001;0;0;0;0;0;0;7;0;0;0;28;25;0;0;78;0;20;591;10;0;74;0;5219;0;0;4;0;0;0;0;0;0;0;391;38;90;24;8;0;0;0;60;3;137;0;0;37;0;0;0;27;0;0;37;35;26;0;0;0;9907;0;0;0;0;0;1745;46;0;0;127;0;0;33;0;0;0;0;14;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;155;71;3;30;18;10;0;20;0;3;0;61;0;0;5;12;0;0;0;18;0;0;0;0;207;4572;0;0;0;0;0;36;412;0;0;0;489;0;2;0;0;0;0;0;0;0;6;0;15;17;81;20;58;16;3232;78;0;0;0;0;0;0;0;0;0;0;0;0;55;0;4;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
BactV5V7-BC25-58_S25_L001;0;0;0;49;0;0;15;0;0;0;0;0;0;0;24;0;130;6467;0;0;36;0;7585;0;0;0;0;0;0;0;0;0;0;414;159;222;24;26;0;0;0;204;0;2674;0;0;62;0;0;7;0;0;0;114;136;26;0;0;0;41;0;0;0;0;0;1974;40;0;0;73;130;0;26;0;0;0;18;0;0;0;0;0;0;29;0;0;67;0;4;0;11;0;0;0;0;0;0;0;0;574;83;6;43;189;0;0;3;0;0;5;139;0;0;0;119;0;0;0;32;0;0;0;0;396;1364;907;0;0;32;0;24;1288;5;31;0;180;0;0;0;0;0;0;0;0;0;84;0;0;41;30;39;169;12;1797;49;0;16;17;0;0;0;0;0;0;0;0;0;235;0;9;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC224-79_S224_L001;9;16;0;6;0;9;105;0;0;8;219;308;0;14;147;0;0;736;52;0;219;0;11928;0;0;22;0;0;0;0;0;0;4;824;174;395;7;187;0;0;0;100;0;213;0;0;727;0;0;0;74;0;0;256;0;111;0;0;0;33;27;0;0;55;47;1001;123;0;0;680;61;0;631;0;0;0;5;37;0;0;0;0;0;8;0;6;0;3;0;0;0;0;29;0;13;0;0;0;10;940;90;43;128;795;13;0;195;0;0;0;66;0;0;65;0;0;0;0;395;3;0;0;0;401;622;33;0;7;0;0;26;2582;0;0;0;2;0;13;0;0;0;0;0;0;0;17;4;0;194;358;115;992;176;349;40;0;20;91;0;0;0;0;22;0;17;0;0;302;0;56;0;45;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;31;0;96;0;0;0;0;0;0;0;0;3
BactV5V7-BC20-47_S20_L001;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;6;12;6652;0;0;183;0;8616;0;0;0;0;0;0;0;0;0;0;55;0;153;17;0;0;0;0;182;0;17;0;0;0;0;0;0;0;0;0;39;78;0;0;0;0;23;0;8;0;0;0;1827;46;6;0;51;35;0;43;0;0;0;0;0;0;0;0;0;0;27;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;73;475;0;26;47;0;0;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;159;868;264;0;0;0;0;39;371;16;20;0;331;0;0;10;0;0;0;0;0;0;113;0;0;0;64;32;45;109;6678;951;0;6;5;0;0;0;0;0;0;3;0;0;48;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0
BactV5V7-BC60-182_S60_L001;0;0;0;0;0;0;0;0;0;0;41;0;0;4;0;0;32;513;0;0;0;0;1644;0;0;0;0;0;0;0;0;0;0;60;31;293;15;7;0;0;0;39;0;12;3;0;12;0;0;0;0;0;0;22;11;25;0;0;0;0;0;0;0;0;0;935;0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;4;0;0;0;0;0;0;0;0;6;94;0;4;5;0;0;0;0;0;0;40;0;0;0;12;0;0;0;0;0;0;0;0;17;23045;387;0;0;7;0;0;200;0;14;0;742;0;0;0;0;0;0;0;0;0;20;0;0;0;0;49;0;0;360;241;0;5;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC76-211_S76_L001;0;0;7;0;0;0;0;0;0;0;25;0;0;0;5;0;0;387;5;0;21;0;1697;0;0;0;0;0;0;0;0;0;0;181;38;41;11;5;0;3;0;2152;0;0;0;0;114;0;0;0;0;0;0;14;12;116;0;0;0;197;0;0;0;8;0;1437;4;0;0;0;62;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;54;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;9;0;0;0;20;17891;13;0;0;0;0;3;306;0;0;0;630;0;0;0;0;0;0;0;0;0;21;0;26;0;4;19;55;14;3735;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
BactV5V7-BC372-243_S372_L001;6;15;0;5;0;10;93;0;0;0;93;174;0;0;478;0;5;244;38;0;192;0;12013;0;0;0;0;11;0;0;2;0;0;1061;97;599;26;133;0;0;18;124;0;181;0;0;619;0;0;0;85;16;37;235;5;177;0;0;6;6;0;0;0;229;75;1272;90;0;0;517;89;0;609;0;0;0;0;58;0;0;0;0;0;6;0;0;0;2;0;8;0;2;22;0;22;0;2;0;43;610;77;80;154;606;17;0;161;0;56;11;44;0;0;48;7;0;0;0;426;44;0;0;0;312;472;81;0;19;16;18;87;2382;28;671;0;0;0;0;24;0;0;0;0;0;0;53;21;0;209;250;178;1338;184;148;40;0;21;90;0;0;0;0;41;0;7;6;0;404;0;37;0;40;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;16;0;134;0;0;0;0;0;0;0;0;0
BactV5V7-BC26-59_S26_L001;6;0;0;6;0;0;0;0;0;0;12;24;0;0;142;0;64;3494;0;0;51;2;5821;0;0;0;0;0;0;0;0;0;0;46;0;521;39;0;0;39;0;288;0;90;0;0;59;0;0;0;0;0;0;318;84;4;0;0;0;22;0;0;0;0;0;177;0;0;0;99;208;0;9;0;0;0;0;2;0;0;0;0;0;0;0;9;36;0;14;0;0;0;0;0;0;0;0;0;0;131;74;8;0;129;0;0;0;0;0;0;325;0;0;0;11;0;0;0;19;0;0;0;0;124;12839;0;0;0;0;0;20;350;11;60;0;644;0;0;0;0;0;0;0;0;0;0;0;17;9;30;11;78;19;2943;0;0;0;0;0;0;0;0;7;0;0;0;0;6;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC28-68_S28_L001;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;11;7163;11;0;100;0;6862;0;0;0;0;0;0;0;0;0;0;191;0;293;26;0;0;0;0;296;0;49;0;0;193;6;0;0;0;0;0;90;128;51;0;0;0;174;0;0;0;0;0;433;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;144;731;0;6;49;0;0;0;0;0;0;261;0;0;7;9;0;5;0;0;0;0;0;0;55;4151;18;0;0;0;0;0;615;5;70;0;176;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;18;528;6498;53;0;18;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC370-241_S370_L001;9;17;0;23;0;7;131;0;0;10;177;235;0;0;614;0;10;373;400;0;197;0;9142;0;0;19;0;8;0;0;0;0;0;1072;111;543;12;155;0;0;6;751;0;174;0;0;614;0;0;0;103;93;72;1161;2;133;0;0;2;25;0;0;0;225;59;1445;102;0;0;650;54;0;701;0;0;4;0;74;0;0;0;11;0;0;0;0;2;0;0;0;0;8;20;0;13;0;0;0;11;741;58;66;156;629;12;0;118;0;37;0;54;0;0;74;6;0;0;0;436;40;0;0;0;397;638;35;0;16;0;2;68;2142;23;775;2;2;0;14;12;0;0;0;0;0;0;131;0;82;236;405;211;1162;207;163;26;0;20;81;0;3;0;0;26;0;31;0;0;449;0;12;0;53;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;9;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;0
BactV5V7-BC348-216_S348_L001;14;18;0;0;0;10;110;0;0;0;64;229;0;0;726;0;2;586;117;0;205;0;9896;0;0;20;0;9;0;0;0;0;0;736;0;537;6;169;0;0;9;182;0;213;0;0;756;0;0;0;106;33;12;373;15;173;0;0;13;0;31;0;0;284;54;1242;72;0;0;656;133;0;627;0;0;0;0;93;0;0;0;23;0;6;0;0;0;0;0;0;0;8;22;0;13;0;0;0;13;842;68;72;170;763;10;0;199;0;26;0;99;0;2;79;7;0;0;0;341;45;0;0;0;409;1050;32;0;17;0;0;63;2660;17;861;0;6;0;14;5;0;0;0;0;0;0;179;10;46;153;284;171;1313;169;296;54;0;0;108;0;0;0;0;46;0;12;0;0;346;0;20;0;50;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;9;0;14;2;0;0;0;16;0;159;0;0;0;0;0;0;0;7;0
BactV5V7-BC59-181_S59_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1716;0;0;5;0;3522;0;0;0;0;0;0;0;0;0;0;91;1459;114;5;0;0;0;0;46;0;0;0;0;210;0;0;0;0;0;0;34;5;0;0;0;0;11;0;0;0;4;0;58;0;0;0;0;99;0;3;0;0;0;0;0;0;0;0;0;0;6;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;9;54;0;0;42;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;26;21180;11;0;0;0;0;0;43;29;5;0;622;0;0;0;0;0;0;0;0;0;19;0;0;0;17;20;0;143;269;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC334-189_S334_L001;21;40;0;19;0;20;151;0;0;0;8;506;0;2;355;0;18;515;62;0;156;0;8468;0;0;25;0;0;0;0;0;0;5;780;92;357;24;130;0;0;32;51;0;172;0;0;491;0;0;0;204;16;2;268;0;166;0;0;31;0;39;0;0;29;30;457;170;0;0;1246;40;0;1036;0;0;0;0;193;0;0;0;0;0;0;0;11;0;8;0;0;0;16;0;0;0;0;0;0;0;463;179;101;207;327;20;0;345;0;30;0;49;0;0;96;0;0;0;0;1128;58;0;0;0;336;820;29;0;31;0;91;147;2391;2;1951;0;14;0;16;40;0;3;0;0;0;0;102;0;0;459;526;191;1435;261;135;32;0;30;167;0;0;4;0;165;0;24;0;0;265;0;93;0;311;62;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;28;0;404;0;0;0;0;0;0;2;13;0
BactV5V7-BC335-190_S335_L001;0;28;4;14;0;14;234;2;0;0;233;335;0;0;548;0;8;664;340;0;205;0;8754;0;0;0;0;0;0;0;0;0;0;561;240;570;17;206;0;0;13;107;0;246;0;0;763;0;0;0;214;73;0;501;8;226;0;0;23;0;34;0;0;430;49;781;100;0;0;835;192;0;862;0;0;0;3;97;0;0;0;15;0;6;0;8;0;6;0;6;0;0;10;0;25;0;0;0;30;626;157;80;215;963;39;0;293;0;23;0;111;0;0;81;0;0;0;0;899;80;0;0;0;349;821;23;0;20;0;0;86;2439;45;476;0;3;0;10;20;0;6;5;0;0;0;85;14;0;353;342;219;1078;365;187;47;0;26;151;0;0;0;0;44;0;33;0;0;329;0;52;0;132;13;0;0;0;10;0;0;0;0;0;0;0;0;0;0;20;0;0;0;3;0;0;0;0;0;26;0;121;0;0;0;0;5;0;0;0;0
BactV5V7-BC345-213_S345_L001;16;17;16;15;0;0;119;0;0;0;154;139;0;6;856;0;8;370;488;0;224;0;11043;0;0;0;0;4;0;0;0;0;0;920;138;594;47;110;0;0;0;771;0;131;0;0;610;0;0;2;54;77;91;1056;4;211;0;2;0;0;0;0;0;202;71;1499;59;0;0;328;90;0;494;0;0;0;3;41;0;0;0;5;0;0;0;0;0;0;0;8;0;5;29;0;5;0;0;0;27;535;54;91;49;787;3;0;99;0;47;0;82;0;0;35;13;0;0;0;379;27;0;0;0;254;414;15;0;0;3;0;57;1939;149;839;0;7;0;6;0;0;2;0;0;0;0;119;17;29;153;169;305;1310;146;121;19;0;0;90;0;0;0;0;9;0;0;2;0;422;0;41;0;77;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;16;0;73;0;0;0;0;0;0;0;4;0
BactV5V7-BC361-232_S361_L001;16;0;0;23;2;16;134;2;0;0;127;45;0;0;565;0;6;606;198;0;345;0;8499;0;2;26;0;22;0;0;4;0;0;1062;238;660;25;177;0;0;11;532;0;172;0;0;796;0;0;0;93;31;40;256;0;302;0;0;12;0;20;0;0;339;127;1713;79;0;0;577;110;0;692;0;0;0;5;71;0;0;0;11;0;0;0;0;0;0;0;19;0;7;29;0;22;0;0;0;80;775;40;89;130;685;0;0;214;0;29;44;140;0;0;66;19;0;0;0;595;61;0;0;2;325;556;31;0;13;16;24;107;2904;39;865;0;7;0;24;11;0;5;0;0;0;0;44;0;0;149;254;319;1296;226;183;40;0;19;97;0;0;2;0;50;2;33;0;0;410;0;78;0;79;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;26;0;0;0;23;0;116;0;0;0;0;0;0;0;6;3
BactV5V7-BC32-81_S32_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2016;0;0;74;0;17331;0;0;0;0;0;0;0;0;0;0;560;260;1269;46;0;0;0;0;485;0;122;0;0;426;0;0;0;0;0;0;31;42;140;0;0;0;11;0;0;0;8;0;617;3;0;0;27;70;0;12;0;0;0;0;0;0;0;0;0;0;20;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;74;222;0;0;946;0;0;0;0;0;13;113;0;0;0;16;0;0;0;0;0;0;0;0;58;924;5;0;0;0;0;0;1231;0;32;0;231;0;0;0;0;0;0;0;0;0;78;0;13;0;24;152;45;17;2321;102;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
